id,name,lat,lng
B0K6VSUYQO,南京能瑞汽车充电站(悦达地产),33.37448,120.22226
B0H1T5IDLN,星星充电汽车充电站(盐城涌鑫中心),33.376502,120.223522
B0K2BBD2QF,中国石化汽车充电站(中石化盐城老游客集散中心充电站),33.360764,120.16063
B0J2TP5LXH,特来电充电站(盐城市亭湖区老游客集散中心停车场充电站),33.360755,120.160631
B0K17K8X1K,新电途汽车充电站(易充达金融城北区充电站),33.356224,120.16964
B0FFJ51C30,普天充电站(申通物流),33.354914,120.193344
B0K2X17TH5,广州蔚星汽车充电站(立迅能源尚城嘉园南区东侧停车场充电站),33.369198,120.147712
B0KGR5JQ25,星星充电汽车充电站(文泽府邸),33.396272,120.139457
B0JK7SHXDT,江苏鲸充汽车充电站(鲸充亭湖区五洲国际广场站),33.38024,120.139553
B0J3SPZL2O,全地通充电桩汽车充电站(共享汽车7千瓦盐城悦达天山水岸),33.358418,120.20958
B0JKR7X95A,特斯拉超级充电站(盐城市五洲国际广场),33.3802,120.139366
B0IK0KOA34,开迈斯汽车充电站(盐城市五洲国际站),33.380127,120.13936
B0K1U992K6,新电途汽车充电站(易充达金融城南区充电站),33.35354,120.17039
B0KGR5JXST,星星充电汽车充电站(中石化-星星充电-KK PARK东大门停车场),33.383028,120.231444
B0IAL5XBEK,星星充电汽车充电站(盐城金融城二期),33.353325,120.167167
B0HDXY7HXI,宝马充电站(宝马站申通物流),33.350353,120.182411
B0KUC5R4X6,星星充电汽车充电站(中石化-星星充电-中庚香城云开),33.402691,120.13583
B0K2BB9IWC,中国石化汽车充电站(盐城金帆万源酒店充电站),33.383656,120.13446
B0JBO6JB1W,特来电充电站(盐城市金帆万源酒店停车场),33.383651,120.134454
B0J2TZWIDM,特来电充电站(盐城市金帆万源酒店停车场充电站),33.383651,120.134454
B0K2BB5S9S,中国石化汽车充电站(中石化盐城腾飞路停车场充电站),33.367638,120.1411
B0J2TZ858Q,特来电充电站(盐城市腾飞路生态停车场充电站),33.36763,120.141099
B0J0X6EAU0,星星充电汽车充电站(中石化-星星充电-江苏沿海可再生能源技术创新中心),33.349588,120.197863
B0I2PM8HZ9,国家电网汽车充电站(江苏省盐城市盐都区欧风花街充电站),33.347667,120.178591
B0K2BB7NWM,中国石化汽车充电站(中石化盐城南洋国际机场充电站),33.430492,120.20667
B0K6ZC0XXA,中国石化汽车充电站(盐城钱江财富充电站),33.36178,120.145014
B0JKDPNY7B,全地通充电桩汽车充电站(共享盐城新辉开公司南门口汽车7千瓦),33.349335,120.20147
B0J65YGM3N,小鹏超级充电站(开放运营-小鹏超充盐城城东宝龙广场站),33.386642,120.23719
B0HDLAW8ST,宝马充电站(宝马站新嘉园公寓),33.365964,120.228265
B0K2BB5CVI,中国石化汽车充电站(中石化盐城西伏河数字智能创新社区充电站),33.3477,120.1969
B0KULBXWPT,茶歇满电汽车充电站(中信大厦),33.351074,120.15969
B0J324AE9P,江苏鲸充汽车充电站(鲸充亭湖区宝龙商业广场站),33.386257,120.237686
B0K6X4QQUB,立迅新能源汽车充电站(圣华名都停车场充电站),33.361816,120.1427
B0J2TAOM6G,汽车充电站(立迅圣华名都站),33.361567,120.142809
B0GK05B5H5,星星充电汽车充电站(美丽充盐城中石化东环路),33.369625,120.232444
B0J074GARN,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074FPB9,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074FPB8,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074FPB7,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074F9YF,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074E4V2,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074B15I,超翔汽车充电站(阳光世纪城),33.35146,120.157
B0J074AE58,超翔汽车充电站(阳光世纪城),33.35146,120.157
