id,name,lat,lng
B0IUNZG5MQ,云快充汽车充电站(西祠街区),32.028948,118.752551
B0G3T5OI4K,特来电汽车充电站(南京扬子江大道208号涵碧楼酒店),32.040327,118.722643
B0KKVL549I,极氪能源超级充电站(南京巧刻广场CHOC PARK极充站),32.016956,118.73149
B0K0J53ZZX,星星充电汽车充电站(怡康街灯杆018号),32.017108,118.740582
B0JU4GF11T,特来电充电站(南京扬子江大道208号涵碧楼酒店充电站),32.041372,118.722982
B0JUMHDT5X,南京易充汽车充电站(易充网鼓楼区枫亚苑路边站点),32.044384,118.74378
B0FFMD0GH2,南京易充汽车充电站(鼓楼区安国村路边站点),32.025336,118.752659
B0K1M9O1SD,平高智联汽车充电站(南英园区充电站),32.015465,118.73514
B0LB6G0FLF,小桔充电汽车充电站(马达出行-南京奥体翠杉园),32.01925,118.723878
B0HK916W28,云快充汽车充电站(建邺区奥体新城海棠园充电站),32.017611,118.726444
B0K0J54019,星星充电汽车充电站(月安街灯杆024号站),32.022937,118.720198
B0GDJR5HKN,能瑞电力汽车充电站(城市管理局),32.044911,118.743645
B0FFJ8AGCH,南京易充汽车充电站(易充网鼓楼区杏林新村路边站点),32.043606,118.74779
B0G125LV40,南京易充汽车充电站(鼓楼区凤凰西街1苏雅眼镜旁路边站点),32.041283,118.750796
B0FFM6TXIG,南京易充汽车充电站(易充网南京市建邺区新城科技园怡康街华隆新寓旁路边站点),32.015753,118.743423
B0JAXH5OX8,港华交通南京绿博园新能源汽车充电站,32.028875,118.715471
B0FFGHAD6E,比亚迪绿博园充电站,32.028934,118.715509
B0J37GR0EW,小桔充电汽车充电站(鑫玉隆建邺区绿溢国际广场),32.017389,118.748497
B0FFI6CX7T,南京易充汽车充电站(易充网鼓楼区郁金里汉中门大街附近路边站点),32.03977,118.754041
B0K3JY07MP,南京易充汽车充电站(易充网鼓楼区南京审计大学路边站点),32.0398,118.754005
B0JUMHE0Q1,南京易充汽车充电站(易充网鼓楼区华阳家园路边站点),32.045555,118.74815
B0KUY6VJW0,汽车充电站(易充网鼓楼区湘江路路边站点),32.048874,118.73746
B0K06N1JQ0,汽车充电站(弘电e充·宏普捷座),32.013237,118.734368
B0JUMH1HK9,南京易充汽车充电站(易充网鼓楼区凤凰西街2路边站点),32.041718,118.75283
B0JK17ECBV,特来电汽车充电站(港华交通南京绿博园扬子江大道地面站),32.02669,118.71474
